time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
2390000	18	13.4818	44.9544	16.8681	0.769441	0.193179
2390000	19	13.4818	44.9544	16.8681	0.769441	0.193179
2390000	-1	3.2827	40.0386	18.6777	0.0113606	9.96677e-05
2390000	-1	3.2827	40.0386	18.6777	0.0113606	9.96677e-05
2400000	6	-9.97564	20.9788	4.64129	12.176	-0.0468127
2400000	9	nan	nan	nan	nan	nan
2400000	12	nan	nan	nan	nan	nan
2400000	13	nan	nan	nan	nan	nan
2400000	18	14.0674	45.5948	16.8681	0.802281	0.193179
2400000	19	14.0674	45.5948	16.8681	0.802281	0.193179
2400000	-1	nan	nan	nan	nan	nan
2400000	-1	nan	nan	nan	nan	nan
2410000	6	-10.5992	23.465	4.64129	12.14	-0.0468127
2410000	9	nan	nan	nan	nan	nan
2410000	12	nan	nan	nan	nan	nan
2410000	13	nan	nan	nan	nan	nan
2410000	18	14.5193	46.1654	16.8681	0.837054	0.193179
2410000	19	14.5193	46.1654	16.8681	0.837054	0.193179
2410000	-1	nan	nan	nan	nan	nan
2410000	-1	nan	nan	nan	nan	nan
2410000	-1	-2.96077	9.50722	6.4267	0.00234922	2.061e-05
2410000	-1	-0.0149888	26.3717	6.4926	-0.00124622	-1.09332e-05
2410000	-1	-2.96077	9.50722	6.4267	0.00234922	2.061e-05
2410000	-1	-0.0149888	26.3717	6.4926	-0.00124622	-1.09332e-05
2420000	6	-12.1676	24.8365	4.64129	12.1035	-0.0468137
2420000	9	nan	nan	nan	nan	nan
2420000	12	nan	nan	nan	nan	nan
2420000	13	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2420000	-1	nan	nan	nan	nan	nan
2430000	9	nan	nan	nan	nan	nan
2430000	12	nan	nan	nan	nan	nan
2430000	13	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	nan	nan	nan	nan	nan
2430000	-1	3.25408	40.541	18.7185	0.0113928	9.99504e-05
2430000	-1	3.25408	40.541	18.7185	0.0113928	9.99504e-05
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	nan	nan	nan	nan	nan
2440000	-1	-2.98844	9.80628	6.74518	0.00412014	3.61464e-05
2440000	-1	-0.0159741	26.5261	6.45454	-0.000923257	-8.09982e-06
2440000	-1	-2.98844	9.80628	6.74518	0.00412014	3.61464e-05
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	nan	nan	nan	nan	nan
2450000	-1	-2.95675	9.8228	6.74924	0.0121907	0.000181514
