time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20.1672	10.4532	4.91846	1.33959	0.464196	lidar	0.0139236	20.166	10.4687	20.0817	10.3863	4.85421	1.36998
1477010447750000	20.1706	10.7064	4.91127	1.38934	0.497513	radar	3.27725	19.6774	10.803	20.1271	10.6247	4.85081	1.39555
1477010447800000	20.2588	10.9545	4.93999	1.39259	0.469708	lidar	0.951904	20.3711	11.0109	20.1663	10.864	4.84751	1.42124
1477010447850000	20.2066	11.2724	4.99968	1.47331	0.53914	radar	21.149	19.4335	12.3402	20.1993	11.1041	4.84431	1.44706
1477010447900000	20.2618	11.4828	4.96153	1.47812	0.512988	lidar	1.24742	20.3164	11.3483	20.2261	11.3449	4.8412	1.47299
1477010447950000	20.1765	11.7676	4.9786	1.56072	0.583382	radar	14.6208	19.2063	12.2418	20.2466	11.5861	4.8382	1.49904
1477010448000000	20.319	11.9899	4.98021	1.51542	0.490733	lidar	5.91096	20.6141	11.9421	20.2608	11.8275	4.83529	1.52519
1477010448050000	20.2973	12.226	4.95589	1.55515	0.5106	radar	2.26296	19.966	11.9688	20.2687	12.0692	4.83249	1.55145
1477010448100000	20.3068	12.4774	4.96288	1.57657	0.505222	lidar	0.044432	20.3263	12.4966	20.2701	12.3108	4.8298	1.57781
1477010448150000	20.2765	12.7129	4.9416	1.61406	0.521209	radar	1.78791	20.0192	12.4822	20.2653	12.5522	4.82722	1.60427
1477010448200000	20.3406	12.9432	4.92804	1.6	0.471824	lidar	1.79826	20.498	12.8924	20.254	12.7933	4.82474	1.63081
1477010448250000	20.3889	13.1374	4.86079	1.59202	0.434697	radar	12.8645	20.9151	12.2555	20.2363	13.0339	4.82237	1.65745
1477010448300000	20.3215	13.3403	4.80402	1.64279	0.472637	lidar	2.6656	20.1943	13.1688	20.2122	13.2738	4.82012	1.68417
1477010448350000	20.2595	13.5763	4.79828	1.68765	0.499225	radar	2.29494	19.858	13.5236	20.1818	13.5129	4.81798	1.71097
1477010448400000	20.2597	13.8284	4.81761	1.69688	0.479072	lidar	0.482745	20.3245	13.8896	20.1449	13.7509	4.81595	1.73784
1477010448450000	20.2369	14.0377	4.77651	1.71574	0.473932	radar	3.51634	20.3387	13.5307	20.1017	13.9878	4.81405	1.76479
1477010448500000	20.1747	14.2852	4.79491	1.75197	0.488922	lidar	0.331681	20.1216	14.337	20.0521	14.2233	4.81225	1.7918
1477010448550000	20.0857	14.512	4.78775	1.79865	0.516792	radar	2.61636	19.6717	14.4038	19.9962	14.4573	4.81058	1.81888
1477010448600000	19.9492	14.7469	4.80359	1.86498	0.56654	lidar	1.88577	19.781	14.773	19.9339	14.6897	4.80903	1.84601
1477010448650000	19.8939	14.9249	4.73074	1.88758	0.561892	radar	10.6368	20.1149	14.0165	19.8655	14.9202	4.80759	1.8732
1477010448700000	19.8833	15.1634	4.73534	1.88077	0.518412	lidar	1.35165	20.0208	15.2053	19.7908	15.1486	4.80628	1.90044
1477010448750000	19.8272	15.3856	4.72599	1.89713	0.50671	radar	1.1772	20.0157	15.3443	19.7099	15.3749	4.80509	1.92772
1477010448800000	19.7994	15.6015	4.70172	1.89749	0.476625	lidar	0.944469	19.9131	15.554	19.6229	15.5989	4.80403	1.95504
1477010448850000	19.7349	15.7837	4.64403	1.91906	0.475664	radar	6.69822	19.9388	15.0864	19.5298	15.8203	4.80309	1.98241
1477010448900000	19.5975	15.9971	4.65967	1.97139	0.510446	lidar	0.977631	19.4748	16.0098	19.4307	16.039	4.80227	2.0098
1477010448950000	19.4709	16.1941	4.65074	2.0159	0.534175	radar	2.13774	19.1556	16.0022	19.3257	16.255	4.80158	2.03722
1477010449000000	19.3232	16.3708	4.62972	2.06995	0.568599	lidar	1.06554	19.238	16.2719	19.2148	16.4679	4.80101	2.06467
1477010449050000	19.2235	16.5578	4.60348	2.09397	0.563956	radar	1.78485	19.4007	16.2962	19.0981	16.6777	4.80057	2.09213
1477010449100000	19.0782	16.7684	4.63438	2.13326	0.57647	lidar	0.605433	19.0029	16.8387	18.9757	16.8841	4.80025	2.11961
1477010449150000	18.9533	17.0033	4.68304	2.15287	0.563064	radar	6.93019	18.8373	17.7112	18.8477	17.0872	4.80006	2.1471
1477010449200000	18.7693	17.2269	4.75146	2.19965	0.583296	lidar	2.7194	18.6148	17.3832	18.7142	17.2866	4.8	2.1746
1477010449250000	18.6373	17.3955	4.71809	2.2289	0.584617	radar	2.47812	18.8177	17.0316	18.5752	17.4822	4.80006	2.2021
1477010449300000	18.3756	17.5526	4.76387	2.31826	0.656644	lidar	4.71738	18.1023	17.5529	18.4309	17.674	4.80025	2.2296
